bag,ztop,EDC3béta,AICC2012,deutfinal,temp,acc-EDC3beta
44950.0,24717.0,3022876.0,3003890.0,-4290.0,2117.0,16.0
44960.0,24723.0,3025060.0,3005947.0,-4325.0,2111.0,15.0
44970.0,24728.0,3027361.0,3008003.0,-4298.0,2115.0,16.0
44980.0,24734.0,3029584.0,3010060.0,-4321.0,2111.0,15.0
44990.0,24739.0,3031883.0,3012177.0,-4322.0,2111.0,15.0
45000.0,24745.0,3034195.0,3014293.0,-4319.0,2112.0,16.0
45010.0,24750.0,3036487.0,3016410.0,-4255.0,2122.0,17.0
45020.0,24756.0,3038584.0,3018393.0,-4273.0,2120.0,17.0
45030.0,24761.0,3040726.0,3020377.0,-4283.0,2118.0,16.0
45040.0,24767.0,3042905.0,3022360.0,-4267.0,2121.0,17.0
45050.0,24772.0,3045033.0,3024280.0,-4241.0,2125.0,18.0
45060.0,24778.0,3047079.0,3026200.0,-4215.0,2129.0,18.0
45070.0,24783.0,3049054.0,3028120.0,-4250.0,2124.0,18.0
45080.0,24789.0,3051120.0,3030017.0,-4208.0,2131.0,19.0
45090.0,24794.0,3053074.0,3031913.0,-4227.0,2127.0,18.0
45100.0,24800.0,3055068.0,3033810.0,-4171.0,2137.0,20.0
45110.0,24805.0,3056924.0,3035657.0,-4226.0,2128.0,18.0
45120.0,24811.0,3058920.0,3037503.0,-4215.0,2130.0,18.0
45130.0,24816.0,3060894.0,3039350.0,-4205.0,2131.0,19.0
45140.0,24822.0,3062840.0,3041207.0,-4220.0,2129.0,18.0
45150.0,24827.0,3064828.0,3043063.0,-4184.0,2135.0,19.0
45160.0,24833.0,3066709.0,3044920.0,-4141.0,2142.0,21.0
45170.0,24838.0,3068472.0,3046680.0,-4159.0,2139.0,20.0
45180.0,24844.0,3070278.0,3048440.0,-4179.0,2136.0,20.0
45190.0,24849.0,3072153.0,3050200.0,-4231.0,2127.0,18.0
45200.0,24855.0,3074181.0,3052170.0,-4223.0,2129.0,18.0
45210.0,24860.0,3076192.0,3054140.0,-4235.0,2127.0,18.0
45220.0,24866.0,3078241.0,3056110.0,-4211.0,2131.0,19.0
45230.0,24871.0,3080217.0,3058177.0,-4242.0,2126.0,18.0
45240.0,24877.0,3082293.0,3060243.0,-4309.0,2115.0,16.0
45250.0,24882.0,3084609.0,3062310.0,-4348.0,2108.0,15.0
45260.0,24888.0,3087056.0,3064637.0,-4294.0,2117.0,16.0
45270.0,24893.0,3089328.0,3066963.0,-4320.0,2113.0,16.0
45280.0,24899.0,3091682.0,3069290.0,-4307.0,2115.0,16.0
45290.0,24904.0,3093990.0,3071577.0,-4297.0,2117.0,16.0
45300.0,24910.0,3096265.0,3073863.0,-4276.0,2121.0,17.0
45310.0,24915.0,3098458.0,3076150.0,-4247.0,2125.0,18.0
45320.0,24921.0,3100570.0,3078403.0,-4283.0,2119.0,17.0
45330.0,24926.0,3102788.0,3080657.0,-4262.0,2123.0,17.0
45340.0,24932.0,3104938.0,3082910.0,-4243.0,2126.0,18.0
45350.0,24937.0,3107034.0,3085227.0,-4260.0,2123.0,17.0
45360.0,24943.0,3109180.0,3087543.0,-4269.0,2122.0,17.0
45370.0,24948.0,3111364.0,3089860.0,-4301.0,2117.0,16.0
45380.0,24954.0,3113651.0,3092327.0,-4246.0,2126.0,18.0
45390.0,24959.0,3115762.0,3094793.0,-4267.0,2122.0,17.0
45400.0,24965.0,3117935.0,3097260.0,-4245.0,2126.0,18.0
45410.0,24970.0,3120049.0,3099743.0,-4280.0,2120.0,17.0
45420.0,24976.0,3122268.0,3102227.0,-4235.0,2128.0,18.0
45430.0,24981.0,3124339.0,3104710.0,-4221.0,2130.0,18.0
45440.0,24987.0,3126367.0,3107147.0,-4227.0,2129.0,18.0
