Gasage (yr BP),CO2 (ppmv),sigma mean CO2 (ppmv)
267037.0,1854.0,3.0
268578.0,1864.0,2.0
269549.0,1881.0,8.0
270420.0,1874.0,2.0
270848.0,1863.0,1.0
271702.0,1949.0,5.0
272801.0,1901.0,5.0
274419.0,1920.0,8.0
275028.0,1912.0,19.0
275497.0,1915.0,19.0
275864.0,1920.0,4.0
276613.0,1915.0,7.0
276870.0,1927.0,1.0
277141.0,1906.0,16.0
277186.0,1893.0,3.0
278207.0,1876.0,9.0
278664.0,1906.0,5.0
278850.0,1893.0,1.0
279271.0,1890.0,4.0
279732.0,1893.0,3.0
280973.0,1900.0,6.0
282141.0,1918.0,3.0
282716.0,1916.0,3.0
283697.0,1926.0,17.0
284139.0,1892.0,2.0
284269.0,1896.0,6.0
285774.0,1931.0,1.0
286264.0,1928.0,2.0
287243.0,1938.0,2.0
288419.0,1939.0,3.0
289027.0,1927.0,5.0
289486.0,1933.0,7.0
290089.0,1929.0,5.0
291507.0,1923.0,2.0
292053.0,1881.0,0.0
292496.0,1924.0,10.0
293239.0,1910.0,9.0
293661.0,1898.0,3.0
294102.0,1892.0,7.0
296092.0,1892.0,0.0
296812.0,1898.0,2.0
297428.0,1913.0,3.0
298378.0,1910.0,2.0
299521.0,1914.0,12.0
299990.0,1916.0,2.0
301015.0,1882.0,6.0
301817.0,1885.0,6.0
302779.0,1865.0,1.0
303127.0,1860.0,6.0
304005.0,1843.0,3.0
305288.0,1829.0,4.0
307130.0,1871.0,2.0
307757.0,1903.0,7.0
311052.0,1880.0,1.0
313564.0,1885.0,8.0
315241.0,1899.0,4.0
317921.0,1937.0,12.0
318184.0,1929.0,11.0
319339.0,1925.0,1.0
320269.0,1933.0,4.0
320796.0,1939.0,11.0
321475.0,1964.0,5.0
321506.0,1969.0,13.0
323079.0,1925.0,19.0
323612.0,1952.0,3.0
324348.0,1941.0,5.0
325111.0,1946.0,4.0
325946.0,1944.0,4.0
326778.0,1951.0,3.0
327141.0,1959.0,3.0
328131.0,1993.0,26.0
328809.0,1967.0,8.0
330090.0,1963.0,5.0
331483.0,1976.0,2.0
334175.0,1969.0,5.0
334914.0,1971.0,4.0
335553.0,1978.0,3.0
337581.0,2000.0,7.0
338410.0,1956.0,7.0
338857.0,1953.0,5.0
339075.0,1945.0,7.0
339259.0,1945.0,0.0
339570.0,1965.0,4.0
339915.0,1954.0,3.0
340642.0,1959.0,10.0
341903.0,1949.0,6.0
342508.0,1958.0,8.0
343128.0,1963.0,2.0
343344.0,1962.0,3.0
345569.0,1996.0,7.0
346026.0,1995.0,6.0
346200.0,2003.0,4.0
346478.0,1989.0,10.0
347106.0,1972.0,12.0
348256.0,2028.0,0.0
348668.0,2031.0,5.0
350896.0,1988.0,6.0
351658.0,2036.0,4.0
352817.0,2054.0,1.0
353370.0,2045.0,12.0
353594.0,2036.0,9.0
353830.0,2014.0,3.0
354458.0,2003.0,8.0
354971.0,2011.0,10.0
355085.0,2020.0,9.0
355307.0,2019.0,7.0
355680.0,2018.0,10.0
356725.0,2018.0,2.0
357016.0,2005.0,6.0
358546.0,2033.0,11.0
359483.0,1988.0,4.0
360865.0,2041.0,13.0
361731.0,2018.0,2.0
362618.0,2001.0,6.0
365063.0,1990.0,10.0
365918.0,2051.0,11.0
366696.0,2038.0,2.0
367128.0,2038.0,0.0
368202.0,2028.0,12.0
369398.0,2035.0,2.0
370234.0,2064.0,11.0
371186.0,2102.0,9.0
371432.0,2073.0,2.0
372965.0,2083.0,10.0
373020.0,2097.0,6.0
373381.0,2066.0,1.0
374310.0,2125.0,15.0
374613.0,2098.0,5.0
376186.0,2143.0,4.0
376475.0,2121.0,7.0
377772.0,2121.0,16.0
378950.0,2142.0,11.0
380003.0,2112.0,7.0
380885.0,2144.0,15.0
381656.0,2083.0,6.0
381924.0,2065.0,5.0
382842.0,2074.0,2.0
383592.0,2080.0,7.0
384128.0,2108.0,6.0
384729.0,2072.0,0.0
385332.0,2101.0,4.0
385736.0,2082.0,20.0
386218.0,2048.0,5.0
386708.0,2045.0,7.0
387234.0,2065.0,3.0
388126.0,2061.0,3.0
388747.0,2057.0,0.0
389556.0,2060.0,13.0
389768.0,2023.0,14.0
390536.0,2043.0,7.0
391205.0,2073.0,2.0
392657.0,2087.0,17.0
393032.0,2095.0,5.0
393199.0,2093.0,5.0
393398.0,2079.0,8.0
393794.0,2048.0,11.0
394029.0,1915.0,9.0
394544.0,1981.0,10.0
395154.0,2004.0,14.0
396210.0,1957.0,21.0
397092.0,1967.0,11.0
397571.0,1936.0,12.0
398850.0,1939.0,2.0
399005.0,1976.0,7.0
400427.0,1926.0,22.0
401121.0,1931.0,4.0
401453.0,1937.0,4.0
403084.0,1979.0,14.0
404859.0,2013.0,14.0
405534.0,2015.0,11.0
407543.0,2005.0,7.0
409074.0,2010.0,19.0
411679.0,2015.0,19.0
413036.0,2042.0,15.0
416060.0,2055.0,10.0
417592.0,2011.0,10.0
419007.0,1999.0,14.0
423158.0,2009.0,12.0
426283.0,2048.0,2.0
428499.0,2064.0,11.0
429681.0,2043.0,8.0
431719.0,2032.0,14.0
433507.0,2017.0,18.0
435158.0,2042.0,9.0
436612.0,2032.0,11.0
438090.0,2017.0,11.0
440952.0,2043.0,9.0
442044.0,2020.0,5.0
443505.0,2062.0,19.0
444905.0,2048.0,13.0
446555.0,2123.0,8.0
448160.0,2104.0,6.0
449962.0,2115.0,3.0
451420.0,2080.0,7.0
452804.0,2139.0,8.0
454603.0,2145.0,8.0
456961.0,2175.0,22.0
458771.0,2227.0,3.0
460573.0,2218.0,17.0
461813.0,2192.0,12.0
463085.0,2183.0,15.0
466359.0,2164.0,14.0
467464.0,2142.0,10.0
468879.0,2108.0,15.0
470863.0,2103.0,5.0
473150.0,2076.0,12.0
475244.0,2043.0,10.0
477104.0,2038.0,4.0
479438.0,2057.0,10.0
482232.0,2062.0,20.0
484279.0,2010.0,6.0
489880.0,2016.0,9.0
493030.0,2001.0,4.0
494627.0,2041.0,12.0
497283.0,2039.0,13.0
500065.0,2044.0,16.0
502205.0,2067.0,5.0
505274.0,2074.0,5.0
510292.0,2076.0,9.0
514314.0,2116.0,4.0
517795.0,2151.0,18.0
520868.0,2138.0,7.0
523848.0,2191.0,3.0
525737.0,2207.0,4.0
528007.0,2211.0,11.0
531083.0,2237.0,17.0
534005.0,2233.0,9.0
538063.0,2211.0,15.0
541566.0,2204.0,9.0
543871.0,2180.0,18.0
546946.0,2139.0,11.0
550145.0,2169.0,6.0
552935.0,2082.0,7.0
555531.0,2148.0,5.0
559095.0,2103.0,12.0
562371.0,2077.0,8.0
565036.0,2124.0,7.0
572109.0,2157.0,6.0
574763.0,2174.0,25.0
578437.0,2237.0,5.0
582170.0,2244.0,8.0
584333.0,2231.0,12.0
591051.0,2313.0,1.0
593804.0,2264.0,14.0
597335.0,2235.0,7.0
601099.0,2167.0,8.0
603731.0,2129.0,7.0
605166.0,2173.0,6.0
608176.0,2138.0,14.0
610609.0,2080.0,13.0
612348.0,2106.0,10.0
615541.0,2109.0,7.0
619007.0,2064.0,12.0
625520.0,2026.0,9.0
627746.0,2027.0,23.0
629609.0,2001.0,6.0
635558.0,1974.0,12.0
638969.0,1972.0,8.0
641138.0,1997.0,13.0
646573.0,2037.0,5.0
